2024-08-13 06:05:07 - Opened short position at 58609.6, TP: 58517.18693333334, SL: 59212.90745414333
2024-08-13 06:05:08 - Opened short position at 58596.8, TP: 58504.395466666676, SL: 59200.10745414333
2024-08-13 06:05:09 - Opened short position at 58603.2, TP: 58510.7912, SL: 59206.50745414333
2024-08-13 06:05:09 - Opened short position at 58603.1, TP: 58510.69126666667, SL: 59206.40745414333
2024-08-13 06:05:10 - Opened short position at 58597.5, TP: 58505.095, SL: 59200.80745414333
2024-08-13 06:05:10 - Opened short position at 58593.9, TP: 58501.49740000001, SL: 59197.20745414333
2024-08-13 06:05:11 - Opened short position at 58593.9, TP: 58501.49740000001, SL: 59197.20745414333
2024-08-13 06:05:12 - Opened short position at 58593.9, TP: 58501.49740000001, SL: 59197.20745414333
2024-08-13 06:05:12 - Opened short position at 58593.8, TP: 58501.397466666676, SL: 59197.10745414333
2024-08-13 06:05:13 - Opened short position at 58593.8, TP: 58501.397466666676, SL: 59197.10745414333
2024-08-13 06:05:14 - Opened short position at 58593.9, TP: 58501.49740000001, SL: 59197.20745414333
2024-08-13 06:05:14 - Opened short position at 58593.9, TP: 58501.49740000001, SL: 59197.20745414333
2024-08-13 06:05:15 - Opened short position at 58593.9, TP: 58501.49740000001, SL: 59197.20745414333
2024-08-13 06:05:16 - Opened short position at 58593.9, TP: 58501.49740000001, SL: 59197.20745414333
2024-08-13 06:05:16 - Opened short position at 58593.8, TP: 58501.397466666676, SL: 59197.10745414333
2024-08-13 06:05:17 - Opened short position at 58593.9, TP: 58501.49740000001, SL: 59197.20745414333
2024-08-13 06:08:57 - Opened short position at 58613.9, TP: 58521.48406666667, SL: 59219.84316842904
2024-08-13 06:08:58 - Opened short position at 58613.9, TP: 58521.48406666667, SL: 59219.84316842904
2024-08-13 06:08:59 - Opened short position at 58614.0, TP: 58521.584, SL: 59219.94316842904
2024-08-13 06:08:59 - Opened short position at 58613.9, TP: 58521.48406666667, SL: 59219.84316842904
2024-08-13 06:09:00 - Opened short position at 58614.0, TP: 58521.584, SL: 59219.94316842904
2024-08-13 06:09:01 - Opened short position at 58613.9, TP: 58521.48406666667, SL: 59219.84316842904
2024-08-13 06:09:01 - Opened short position at 58614.0, TP: 58521.584, SL: 59219.94316842904
2024-08-13 06:09:02 - Opened short position at 58613.9, TP: 58521.48406666667, SL: 59219.84316842904
2024-08-13 06:09:02 - Opened short position at 58613.9, TP: 58521.48406666667, SL: 59219.84316842904
2024-08-13 06:09:03 - Opened short position at 58614.0, TP: 58521.584, SL: 59219.94316842904
2024-08-13 06:09:04 - Opened short position at 58613.9, TP: 58521.48406666667, SL: 59219.84316842904
2024-08-13 06:09:04 - Opened short position at 58613.9, TP: 58521.48406666667, SL: 59219.84316842904
2024-08-13 06:09:05 - Opened short position at 58613.9, TP: 58521.48406666667, SL: 59219.84316842904
2024-08-13 06:09:06 - Opened short position at 58613.9, TP: 58521.48406666667, SL: 59219.84316842904
2024-08-13 06:09:06 - Opened short position at 58600.1, TP: 58507.69326666667, SL: 59206.04316842904
2024-08-13 06:09:07 - Opened short position at 58600.1, TP: 58507.69326666667, SL: 59206.04316842904
2024-08-13 06:09:07 - Opened short position at 58600.0, TP: 58507.59333333334, SL: 59205.94316842904
2024-08-13 06:09:08 - Opened short position at 58600.1, TP: 58507.69326666667, SL: 59206.04316842904
2024-08-13 06:09:09 - Opened short position at 58600.0, TP: 58507.59333333334, SL: 59205.94316842904
2024-08-13 06:09:09 - Opened short position at 58600.0, TP: 58507.59333333334, SL: 59205.94316842904
2024-08-13 06:09:10 - Opened short position at 58600.1, TP: 58507.69326666667, SL: 59206.04316842904
2024-08-13 06:09:11 - Opened short position at 58583.4, TP: 58491.004400000005, SL: 59189.34316842904
2024-08-13 06:09:11 - Opened short position at 58576.5, TP: 58484.109000000004, SL: 59182.44316842904
2024-08-13 06:09:12 - Opened short position at 58576.5, TP: 58484.109000000004, SL: 59182.44316842904
2024-08-13 06:09:13 - Opened short position at 58574.1, TP: 58481.7106, SL: 59180.04316842904
2024-08-13 06:09:13 - Opened short position at 58569.0, TP: 58476.614, SL: 59174.94316842904
2024-08-13 06:09:14 - Opened short position at 58569.0, TP: 58476.614, SL: 59174.94316842904
